author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;28 м²;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
ID 18174647;realtor;https://www.cian.ru/sale/flat/301450189/;Москва;sale;flat;26;31;5;246.7;286355351;2008;-1;-1;-1;-1;140,9 м²;28 м²;+79166462390;Очаково-Матвеевское;Нежинская ;1к1;Давыдково;Кутузовская Ривьера
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275836899/;Москва;sale;flat;11;12;5;303.0;528508199;2014;-1;-1;-1;-1;117 м²;24 м²;+79652918238;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040441/;Москва;sale;flat;4;6;2;102.7;114715900;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;37,6 м²;27,1 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Москва;sale;flat;21;31;2;55.7;21990000;2020;-1;-1;-1;-1;27,2 м²;10,6 м²;+79163814853;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;2023;-1;Монолитный;-1;Без отделки, предчистовая;15 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
