city,price_for_meter
Москва,775690.17
Голицыно,296752.37
Красногорск,256517.83
Реутов,220813.31
Химки,213347.12
Одинцово,208599.13
Долгопрудный,207806.8
Котельники,186155.75
Люберцы,185317.71
Мытищи,184666.48
Краснознаменск,181443.93
Видное,179291.46
Ликино-Дулёво,168451.42
Королёв,161354.65
Домодедово,160624.36
Дзержинский,159550.01
Луховицы,158592.8
Ивантеевка,157506.7
Пушкино,155997.34
Лосино-Петровский,154605.16
Лобня,154603.94
Балашиха,153438.43
Солнечногорск,151875.0
Кубинка,150667.21
Истра,149593.58
Подольск,148430.59
Жуковский,145723.56
Щёлково,140596.71
Раменское,133650.89
Лыткарино,128389.17
Чехов,125442.06
Электросталь,124592.54
Старая Купавна,120455.62
Наро-Фоминск,117385.79
Дмитров,111468.69
Егорьевск,110778.44
Электроугли,109375.0
Звенигород,106071.43
Шатура,104974.09
Серпухов,103509.82
Клин,101054.96
Воскресенск,99474.69
Можайск,95604.4
Орехово-Зуево,72769.95
