location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
Старая Купавна,7,18,1,30.7,5000000.0,2020,20.0,7.0,Старая Купавна, Октябрьская,Железнодорожная,162866.44951140066
Старая Купавна,11,17,2,52.0,7350000.0,2021,20.0,10.0,Старая Купавна, Октябрьская,Железнодорожная,141346.15384615384
Старая Купавна,9,17,1,30.3,3000000.0,,28.0,4.0,Старая Купавна, Октябрьская,Железнодорожная,99009.900990099
Старая Купавна,3,5,1,30.0,4600000.0,1965,18.0,7.0,Старая Купавна, Матросова,Железнодорожная,153333.33333333334
Старая Купавна,15,17,1,30.7,4590000.0,2020,28.0,10.0,Старая Купавна, Октябрьская,Железнодорожная,149511.4006514658
Старая Купавна,4,4,1,32.3,3300000.0,1962,28.0,6.0,Старая Купавна, Ленина,Железнодорожная,102167.1826625387
Старая Купавна,3,17,1,30.2,5250000.0,2022,13.2,12.0,Старая Купавна, Октябрьская,Железнодорожная,173841.059602649
Старая Купавна,6,17,1,29.7,4900000.0,2022,18.7,6.0,Старая Купавна, Октябрьская,Железнодорожная,164983.16498316498
Старая Купавна,3,9,2,51.3,7350000.0,2024,32.0,7.0,Старая Купавна, Чкалова,Железнодорожная,143274.8538011696
Старая Купавна,17,17,1,43.4,6200000.0,2017,28.0,11.0,Старая Купавна, Кирова,Железнодорожная,142857.14285714287
Старая Купавна,1,3,1,28.1,2990000.0,,15.5,6.3,Старая Купавна, Большая Московская,Железнодорожная,106405.69395017793
Старая Купавна,5,5,3,63.3,6100000.0,1973,28.0,6.0,Старая Купавна, Чкалова,Железнодорожная,96366.50868878358
Старая Купавна,3,4,2,46.0,5200000.0,,20.0,6.0,Старая Купавна, Ленина,Железнодорожная,113043.47826086955
Старая Купавна,2,4,2,31.7,3980000.0,1968,21.2,4.1,Старая Купавна, Октябрьская,Железнодорожная,125552.05047318611
Старая Купавна,11,18,1,31.0,3600000.0,2021,19.0,6.0,Старая Купавна, Октябрьская,Железнодорожная,116129.03225806452
Старая Купавна,2,3,1,12.0,2300000.0,,10.0,10.0,Старая Купавна, Чудинки,Железнодорожная,191666.66666666663
Старая Купавна,3,3,2,46.0,4500000.0,1963,28.0,10.0,Старая Купавна, Чапаева,Железнодорожная,97826.08695652174
Старая Купавна,10,17,1,35.6,4400000.0,2020,17.9,8.7,Старая Купавна, Трудовая,Железнодорожная,123595.50561797751
Старая Купавна,3,5,1,30.5,4500000.0,1965,18.1,7.0,Старая Купавна, Матросова,Железнодорожная,147540.9836065574
Старая Купавна,3,4,2,73.0,5550000.0,,28.0,10.0,Старая Купавна, Кирова,Железнодорожная,76027.39726027397
Старая Купавна,13,17,2,44.3,6950000.0,2018,27.3,8.0,Старая Купавна, Чехова,Железнодорожная,156884.87584650115
Старая Купавна,3,5,1,30.9,3980000.0,1972,16.6,6.9,Старая Купавна, Чкалова,Железнодорожная,128802.58899676376
Старая Купавна,5,5,2,46.4,5000000.0,,30.0,6.0,Старая Купавна, Матросова,Железнодорожная,107758.62068965516
Старая Купавна,3,3,1,35.1,5000000.0,,18.0,9.0,Старая Купавна,шоссе Фабричное,Железнодорожная,142450.14245014245
Старая Купавна,3,5,2,43.0,4300000.0,1973,30.0,6.0,Старая Купавна, Трудовая,Железнодорожная,100000.0
Старая Купавна,6,18,1,42.0,4800000.0,2022,28.0,8.0,Старая Купавна, Трудовая,Железнодорожная,114285.71428571428
Старая Купавна,5,5,1,30.6,3800000.0,1968,19.0,6.0,Старая Купавна, Большая Московская,Железнодорожная,124183.0065359477
Старая Купавна,4,4,1,29.6,3390000.0,1966,20.0,5.5,Старая Купавна, Ленина,Железнодорожная,114527.02702702704
Старая Купавна,2,17,1,50.0,6400000.0,,27.0,18.0,Старая Купавна, Октябрьская,Железнодорожная,128000.0
Старая Купавна,11,18,2,48.6,4500000.0,,30.0,8.0,Старая Купавна, Октябрьская,Железнодорожная,92592.59259259258
Старая Купавна,1,2,3,56.0,4300000.0,1938,38.0,8.5,Старая Купавна, Чернышевского,Железнодорожная,76785.71428571429
Старая Купавна,10,17,1,31.0,4900000.0,2022,17.0,11.0,Старая Купавна, Октябрьская,Железнодорожная,158064.51612903227
Старая Купавна,11,18,1,34.0,4550000.0,2022,17.0,6.0,Старая Купавна, Трудовая,Железнодорожная,133823.5294117647
